state,district,year,JAN-RF,JAN-DEP,FEB-RF,FEB-DEP,MAR-RF,MAR-DEP,APR-RF,APR-DEP,MAY-RF,MAY-DEP,JUN-RF,JUN-DEP,JUL-RF,JUL-DEP,AUG-RF,AUG-DEP,SEP-RF,SEP-DEP,OCT-RF,OCT-DEP,NOV-RF,NOV-DEP,DEC-RF,DEC-DEP
bihar,rohtas.txt,2008,50.7,138,11.0,-48,0.0,-100,36.8,418,69.3,339,255.5,119,294.5,-8,260.4,-17,84.7,-64,0.0,-100,0.0,-100
bihar,rohtas.txt,2009,0.0,-100,0.0,-100,0.0,-100,0.0,-100,106.4,573,36.9,-68,224.1,-30,364.0,16,236.0,0,91.6,93,11.8,74
bihar,rohtas.txt,2010,0.0,-100,7.6,-64,0.0,-100,0.0,-100,35.8,127,52.5,-55,197.3,-38,233.5,-25,171.1,-28,31.7,-33,1.1,-84
bihar,rohtas.txt,2011,3.9,-70,2.4,-81,0.0,-100,8.6,46,24.9,79,266.0,196,89.5,-67,407.2,46,264.4,39,0.0,-100,0.0,-100
bihar,rohtas.txt,2012,9.4,-28,0.0,-100,3.7,-59,15.9,169,0.0,-100,94.2,5,321.6,17,332.8,20,231.3,21,1.9,-96,5.6,-54
maharashtra,latur.txt,2008,0.0,-100,0.0,-100,69.7,666,2.0,-80,0.0,-100,55.8,-64,107.2,-52,156.8,-28,310.3,72,7.4,-90,1.1,-95
maharashtra,latur.txt,2009,0.0,-100,0.0,-100,0.5,-95,2.5,-75,15.8,-28,57.8,-62,112.9,-49,178.7,-18,101.1,-44,53.0,-31,20.2,-9
maharashtra,latur.txt,2010,4.5,22,20.0,413,0.0,-100,1.0,-90,1.4,-94,68.4,-55,315.4,42,428.7,96,201.6,12,78.8,2,28.0,26
maharashtra,latur.txt,2011,0.0,-100,1.2,-67,0.8,-90,27.7,141,18.7,-11,38.8,-73,316.2,45,271.4,23,79.3,-53,24.6,-70,0.0,-100
maharashtra,latur.txt,2012,1.0,-77,0.0,-100,0.0,-100,5.6,-51,0.0,-100,115.3,-20,184.1,-16,162.5,-26,164.1,-3,125.8,55,12.9,-42
orissa,kandhamal.txt,2008,47.2,345,3.8,-83,54.4,134,43.2,44,9.3,-80,224.0,13,249.1,-32,486.7,26,613.9,156,42.9,-54,3.6,-83
orissa,kandhamal.txt,2009,0.0,-100,0.0,-100,0.2,-99,0.0,-100,51.2,12,115.3,-42,878.9,141,274.4,-29,232.5,-3,108.6,16,39.7,86
orissa,kandhamal.txt,2010,18.2,72,0.4,-98,0.0,-100,3.8,-87,123.4,169,154.6,-22,385.8,6,340.1,-12,403.9,69,152.8,63,64.9,205
orissa,kandhamal.txt,2011,0.0,-100,28.2,8,0.5,-98,68.9,90,70.1,3,173.9,-13,197.6,-38,344.5,-8,292.3,27,33.5,-71,0.0,-100
orissa,kandhamal.txt,2012,77.1,507,23.5,-10,0.0,-100,76.7,112,32.0,-53,223.8,12,300.5,-6,458.4,23,249.2,8,80.8,-29,75.8,122
hp,solan.txt,2008,44.1,-45,32.7,-53,0.0,-100,11.4,-63,95.9,82,307.5,121,275.3,-30,357.9,6,341.2,101,24.9,-51,0.0,-100
hp,solan.txt,2009,10.6,-87,22.2,-68,34.3,-52,19.4,-36,21.1,-60,44.9,-68,224.7,-43,122.4,-64,365.9,115,10.3,-80,6.1,-58
hp,solan.txt,2010,7.5,-91,56.3,-19,0.2,-100,0.7,-98,39.4,-25,169.2,22,419.3,7,287.4,-15,283.8,67,29.8,-41,15.4,5
hp,solan.txt,2011,8.7,-88,61.5,-7,15.5,-75,11.5,-59,31.0,-36,179.6,38,279.2,-24,251.2,-24,55.1,-68,0.2,-100,0.0,-100
hp,solan.txt,2012,67.8,-5,9.2,-86,12.4,-80,41.5,49,3.0,-94,15.1,-88,317.9,-14,366.8,11,195.0,15,1.0,-98,2.4,-81
hp,kulu.txt,2008,181.5,184,55.4,-8,6.3,-93,83.0,57,89.1,56,181.9,117,251.1,13,287.7,77,216.1,115,35.0,16,1.8,-80
hp,kulu.txt,2009,109.9,72,105.3,76,51.2,-44,83.5,58,78.8,38,43.3,-48,160.5,-28,161.3,-1,211.9,111,12.4,-59,136.4,1416
hp,kulu.txt,2010,21.8,-66,177.7,196,103.8,14,70.1,33,102.5,80,198.4,136,292.8,31,408.7,152,234.9,134,50.9,69,15.7,74
hp,kulu.txt,2011,54.6,-37,181.6,87,136.1,1,148.0,86,61.9,-14,123.0,49,146.0,-21,330.7,99,110.8,28,3.3,-90,3.0,-87
hp,kulu.txt,2012,140.3,61,184.0,90,85.2,-37,98.0,23,24.8,-66,44.5,-46,180.2,-2,265.4,60,166.6,92,4.3,-87,13.5,-42
andhra,karimnagar.txt,2008,0.2,-98,1.0,-80,98.7,840,5.4,-61,8.1,-64,131.9,-15,184.2,-31,302.7,33,150.3,-12,11.5,-85,3.6,-80
andhra,karimnagar.txt,2009,0.0,-100,0.0,-100,6.2,-41,1.7,-88,25.7,15,78.1,-49,137.8,-48,132.1,-42,138.1,-19,65.7,-14,55.9,204
